,post_text,label
5465,morethanmeat veganchatroom veganfoodrecip mean except  ppl kill anim  slaughterhous perfectli awar,Not Depressed
5466,laiqalass veganrevoiut uh wrote four hour ago shrug,Not Depressed
5467, mercyforanim live valu  ,Not Depressed
5468,thekatvond  glad dont eat anim,Not Depressed
5469, thekatvond shame admit weve thing wrong,Not Depressed
5470,thekatvond vegan ,Not Depressed
5471, thekatvond hard empath upset recent kill innoc ,Not Depressed
5472,peta omg idea thekatvond awesom,Not Depressed
5473, creepygrrl care human right care anim right arent mutual exclus passion one diminish passio,Not Depressed
5474, veganrevoiut convinc other go vegan acknowledg u valu human live also harm,Not Depressed
5475, veganrevoiut u speciest still vegan ok still valu human live think veganbro made video,Not Depressed
5476,breweryommegang help bought physic ticket brandnewrock aug  shownow want switch friend  call,Not Depressed
5477,seashepherdusa awesom,Not Depressed
5478,outrag protect lion hunt lion still legal hunt membership cecilthelion,Not Depressed
5479, vegantweet chloecoscarelli new nyc vegan spot bychefchloeincred get bring doubt nonvegan ,Not Depressed
5480,least cecilthelion nice life human slaughter oppos factori farm anim yall need eat everyday ,Not Depressed
5481,veganrevoiut ayykaitlyn block could say respons health empow dont victim,Not Depressed
5482,ayykaitlyn one respons feel empow know,Not Depressed
5483,veganrevoiut love controversi misunderstood tweet one ,Not Depressed
5484,seashepherdusa hey guy vegan ive heard conflict info,Not Depressed
5485, aldf phoenix judg uphold antipuppi mill ban adopt dont shop  ,Not Depressed
5486,help promot  veganrevoiut ,Not Depressed
5487,wish soylent right appetit need eat ,Not Depressed
5488,veganrevoiut ayykaitlyn  trigger becom excus stop say truth let keep everyon fairytal bubbl,Not Depressed
5489,laiqalass veganrevoiut hors meat sold countri everyon aw dont eat hors chow cow,Not Depressed
5490,viiictttoriia veganrevoiut like handl misinterpret misconstru bad like wut,Not Depressed
5491,laiqalass veganrevoiut kno plenti peopl love anim still eat themther better way thoughmor align wbelief,Not Depressed
5492,laiqalass veganrevoiut cognit dissonancewer condit love certain anim pet certain foodit diff everywher,Not Depressed
5493,laiqalass veganrevoiut u care cow peopl want know dont eat themthat moral schizophrenia,Not Depressed
5494,laiqalass veganrevoiut see still compass left dont need eat anim surviv  let keep sparkl,Not Depressed
5495,laiqalass veganrevoiut eat meat still kill anim want live full life like,Not Depressed
5496,laiqalass veganrevoiut end game dairi cow still die theyr use peta noth wthi,Not Depressed
5497,laiqalass veganrevoiut believ dont see abus way doyou might think cow happybut think,Not Depressed
5498,laiqalass veganrevoiut veal milk til cant anymor useless confin,Not Depressed
5499,laiqalass veganrevoiut cow tell want artifici insemin birth calv taken away,Not Depressed
5500,laiqalass veganrevoiut kill thing love famili pet littl sister cant love someon kill,Not Depressed
5501,laiqalass veganrevoiut actual disgust abus tortur kill anim,Not Depressed
5502,laiqalass veganrevoiut say oh anyon w eat disord bad person show dont need abus back,Not Depressed
5503,laiqalass veganrevoiut peopl overcom eat disord without eat meat abus anim,Not Depressed
5504,laiqalass veganrevoiut defend human abus victim still believ shouldntb abus animalsactu make sens,Not Depressed
5505,laiqalass veganrevoiut might relat anim abus littl one would think speak cant,Not Depressed
5506,itsmeolyavi laiqalass cow pig cat dog theyr love one eat,Not Depressed
5507,laiqalass veganrevoiut see abus say someth,Not Depressed
5508, veganstart nope brand like gardein amp beyondmeat let simpli remov anim equat vegan ,Not Depressed
5509,veganstart kehyslop gardein beyondmeat wtf meat replac awesom way appeal cricket,Not Depressed
5510, veganstart realli kehyslop think peopl would look piec gardein cricket eat cricket ,Not Depressed
5511,laiqalass veganrevoiut fulli believ heal without harm sentient be ie vegan,Not Depressed
5512, theveganqueen human top food chain though kill lion fine right  work appl,Not Depressed
5513,  still favourit tweet ever  relev huntingisnotsport cecilthelion theveganqueen ,Not Depressed
5514, davenavarro happi world passion cecilthelion let find global voic anim havent given ,Not Depressed
5515, includ tradit farm anim food cow beauti want love much pig dog cat,Not Depressed
5516, like even tri mean rude sincer think love everyon cecil given anim,Not Depressed
5517,kristinxros saw someon thought could help tri disconnect ill,Not Depressed
5518,lorindabrook sure your misinterpret shitti attitud tri see logic mow grass  shoot cow,Not Depressed
5519,lorindabrook eat plant secondhandli eat anim care plant life much go vegan,Not Depressed
5520,kristinxros dude girl non dairi chocol milk mainstream amazinghealthi give tri least ,Not Depressed
5521,lillygotdembun veganrevoiut littl furri cat look appet paid someon shoot eat cool right,Not Depressed
5522,lillygotdembun veganrevoiut yo mom alreadi dead got hungri slice piec,Not Depressed
5523,lorindabrook dk interpret  smart ass  srsli interest thought process respect anim whilst kill,Not Depressed
5524,breweryommegang hey best place camp nearbi saturday august  show,Not Depressed
5525, estherthepig real men kind anim ripcecil ,Not Depressed
5526,yungkundalini green,Not Depressed
5527,lorindabrook ask question said okay long replenish replenish anim curiou,Not Depressed
5528,help arent vegan  officialkat peta,Not Depressed
5529,ajnagyptian alway forget,Not Depressed
5530,bbambz cognit disson make sad  show moral compass isnt broken still feel delud ,Not Depressed
5531,rickygervai help arent vegan,Not Depressed
5532,help arent vegan oprah ,Not Depressed
5533,lorindabrook drippinglotu replenish slaughter anim tho,Not Depressed
5534,veganmainstream come ny,Not Depressed
5535, veganmainstream la first  vegan shop event space  lavegan vegan losangel ,Not Depressed
5536,cow pretti cute love  ,Not Depressed
5537,veganrevoiut vegsoc saw go vegetarian bumper sticker day   want chang say vegan,Not Depressed
5538,deepakchopra help arent vegan,Not Depressed
5539,veganrevoiut drippinglotu judgement becom bad thing kill someon judg wrongsimpl,Not Depressed
5540,veganrevoiut drippinglotu need knowwww kill peopl fun spare time om,Not Depressed
5541,rfdever xgroverx mani good vegan bacon need eat dead pig lightlif,Not Depressed
5542,veganrevoiut scare delud peopl support murder peopl drippinglotu  cannib,Not Depressed
5543, misterwhistl govt use ur  subsid meat dairi amp gmo wheat amp corn farm that salad cost burger ht,Not Depressed
5544, bbambz yall sad bout lion go amp eat cow im confus  ,Not Depressed
5545, audreykitch what wrong human like wire act contradict way peopl make unco,Not Depressed
5546,rfdever xgroverx evanrachelwood glad understood cognit disson make connect ,Not Depressed
5547, xgroverx joker voic  cow kill year  pig one say anyth kill one lion everyon lo,Not Depressed
5548, koifresco alien came amp told drank hormon infus growth fluid use help cow reach matur would leav,Not Depressed
5549,veganrevoiut drippinglotu one ye mow grass kill mani innoc blade grass equal anim scream omm,Not Depressed
5550, veganrevoiut ive left midway yoga class women start chat meat dish ate indian retreat imap,Not Depressed
5551,veganrevoiut drippinglotu fuck ask justifi answer besid guesslik ,Not Depressed
5552,veganrevoiut drippinglotu would like dead cow present instead flower someon theyr equal right,Not Depressed
5553,veganrevoiut drippinglotu fake yogi make confus,Not Depressed
5554, veganrevoiut dyou realli believ drippinglotu  pick orang slit cow throatthat actua,Not Depressed
5555, veganrevoiut briespiel vegan open can wormsar vegan,Not Depressed
5556,veganrevoiut drippinglotu silli think yogi knew mean ahimsa   tri find yoga teacher realiz hypocrit,Not Depressed
5557, leokitti marcorubio pleas call pp lure babi womb shoot fanci bow arrow,Not Depressed
5558, maryradzinski how day goingjust anoth day unsuccess tri fix myselfgood thank,Not Depressed
5559, yungkundalini let send love  heal countless human amp anim live taken pain amp senseless,Not Depressed
5560, yungkundalini like outrag lion eat bacon cheeseburg ,Not Depressed
5561,drippinglotu melissabnesello kevinthompsonn care plant feel go vegan veganrevoiut,Not Depressed
5562,drippinglotu melissabnesello kevinthompsonn also eat anim eat lot plant anim eat plant first,Not Depressed
5563,drippinglotu pleas help pleas  veganrevoiut,Not Depressed
5564,melissabnesello drippinglotu kevinthompsonn pretti sure major peopl pick appl tree slit pig throat easili,Not Depressed
5565, robertcheek potato realli good,Not Depressed
5566,arent heartless pleas align moral action go vegan ,Not Depressed
5567,confus peopl eat beauti intellig anim everyday ie cow pig upset cecil congrat feel,Not Depressed
5568, ethangarofolo luvlylayi vegan cecil kill treat properti  vegan extend anim p,Not Depressed
5569,veganrevoiut basednos help go vegan ,Not Depressed
5570, theveganqueen still wait patient willow go vegan ,Not Depressed
5571, officialwillow zoo illeg,Not Depressed
5572, theveganqueen south african vegan level amp love ,Not Depressed
5573, soylent imaplacebo mayb fate,Not Depressed
5574, soylent imaplacebo mayb fate,Not Depressed
5575, zackwhittak dear nypd see someth say someth secur certif isnt trust your still window xp ,Not Depressed
5576,draaglom soylent tast like,Not Depressed
5577,soylent meal replac powder instead food pill pretti close,Not Depressed
5578,soylent dreamt food pill would take cook shop order anxieti away googl found ,Not Depressed
5579, seamless rt  et chanc win   seamless picnic blanket seamlessbecaus takeout tast better pbampj ,Not Depressed
5580,rickygervai simmoa scari psycho walk among us disguis normal peopl ,Not Depressed
5581, rickygervai food shoot tin can would must thrill kill mental  ,Not Depressed
5582, rickygervai trophi hunt poach dog tortur festivalsit seem like lose battl let fight way ,Not Depressed
5583, justinshan wait til ppl upset one lion hear million factoryfarm pig chicken amp cow daili look ,Not Depressed
5584,  creat vegan magic chipotletweet  ,Not Depressed
5585, ganondaif public servic announc  ,Not Depressed
5586, nickbaysid thing way know wrong ,Not Depressed
5587, vegancut hope day good pic hedgehog eat guacamol lt ,Not Depressed
5588, theveganqueen ppl omg someon threw puppi ground wtf wrong w pplpiglet head slam concret floor,Not Depressed
5589, peta spanish town first recogn dog amp cat nonhuman resid w right  timesrchang ,Not Depressed
5590, brockeathealthi meatlessmonday bean provid protein fiber keep full energ choos includ instead ,Not Depressed
5591, peta katemara orcaweek fill blank id rather  go seaworld ,Not Depressed
5592,pcrm usatoday awesom,Not Depressed
5593, pcrm real men dont eat meat  via usatoday,Not Depressed
5594,thank  seaworld suck  ,Not Depressed
5595,thank   seaworld suck ,Not Depressed
5596,support thing support slaughter  need race hors polic use ,Not Depressed
5597, vegangretchen need fast easi meatlessmonday meal tri spici peanut noodl  vegan meatlessmonday ht,Not Depressed
5598, thevegankind want win vegan hamper full crisp amp popcorn follow us follow friend  rt enter lt ,Not Depressed
5599,dear meatlessmonday propon pl tri leav dairi egg perhap harm meatjust catchi slogan,Not Depressed
5600, bonappetit meatlessmonday youv never look tastier ,Not Depressed
5601, vegangretchen versatil vegan pesto let creat varieti meatlessmonday meal  meatlessmonday ,Not Depressed
5602, veganstart benefit health eco anim meatlessmonday enhanc go vegan start switch breakfast ,Not Depressed
5603, axxyasystem besid delici digest health anoth reason give meatlessmonday tri  hplife,Not Depressed
5604, theveganqueen ppl omg someon hurt kitten wtf wrong w ppl hope die omg chick ground aliveppl that foo,Not Depressed
5605,got friend got lova,Not Depressed
5606,specif amount women dont understand freethenippl equal quit alarm,Not Depressed
5607,amount peopl dont understand freethenippl realli alarm  freethenippl pornographi,Not Depressed
5608, rickygervai fuck tortur bull death entertain filthi barbar scum banbullfight,Not Depressed
5609, verrlust hour   funni habit make feel like your either top world,Not Depressed
5610,dabmandan whiskeyhippi freethenippl pt chang wrong fr boy show whi wrong girlswatch freethenippl,Not Depressed
5611,dabmandan whiskeyhippi suggest watch film,Not Depressed
5612,dabmandan whiskeyhippi hnmmmm point freethenippl equal dont believ need  believ ,Not Depressed
5613, vegbarbi dont hate peopl eat anim hate eat anim differ,Not Depressed
5614, uberfact baltimor tv produc told oprah unfit televis news,Not Depressed
5615, scatsx spacecatgiveaway im feel gener christma rt follow chanc win shirt  ,Not Depressed
5616, richrol nfl  plantbas diet made better player amp better human rrp  ,Not Depressed
5617, forksoverkn listen richrol podcast w nfl player david carter say fok help go vegan  ,Not Depressed
5618, babyanimalp incas bad day here dog sneez ,Not Depressed
5619, followyourheart veganfoodchat  grill teas veganfoodchat,Not Depressed
5620, bestcoast cool thank hous lyric  ,Not Depressed
5621, veganfoodchat know rt dariazeoli  guy know meat come old english term mete item food ,Not Depressed
5622, lindaarcuriyoga veganfoodchat  think help point much food natur vegan peopl realiz,Not Depressed
5623,cant tell im cover bug bite rash chicken pox ,Not Depressed
5624,speak exhaust im bad commun telepath understand thought ,Not Depressed
5625,enter win  year suppli vega vitamix blender amp  bestlifeproject ,Not Depressed
5626, megmoy strong support freethenippl ,Not Depressed
5627,uber lol wut,Not Depressed
5628, veganrevoiut prolif butchersw feed nonabort anim,Not Depressed
5629,thatgirlha love hooponopono ,Not Depressed
5630, kvttycat think ignor make sad  correct,Not Depressed
5631,veganrevoiut mittengirlxo peskygowilla plz inform im die know think happen cow old give milk,Not Depressed
5632, veganrevoiut larg icecream busi owner daughter firmli believ dont kill cowsmay futur gener look ,Not Depressed
5633, veganrevoiut sad peopl naiv close mind,Not Depressed
5634,  veganrevoiut didnt hear daddi tell littl girl cow live sanctuari rainbow shoot,Not Depressed
5635,mittengirlxo idgafclair tri see issu littl deeper youv seen grown,Not Depressed
5636,mittengirlxo idgafclair milk machin give calv milk away human whilst steal calf whole problem,Not Depressed
5637,mittengirlxo idgafclair wouldnt releas pain buildup milk feed calv intend,Not Depressed
5638,veganrevoiut mittengirlxo wtf girl there bond w calf slaughter veal cow milk unnecessarili,Not Depressed
5639,mittengirlxo vegan food fruit veget ye,Not Depressed
5640,mittengirlxo veganrevoiut someth alreadi dead doesnt make right lookup suppli demand your creat demand,Not Depressed
5641,daiyafood corn thin best midnight  snack sheug ,Not Depressed
5642,think much sleep man alway happen,Not Depressed
5643, cher saw someth fg crazyi cant believ gopcandid shot way  officew  gop shoot,Not Depressed
5644, augusten sometim im write miss see buddi list window aol corner screen,Not Depressed
5645, augusten next book memoir call lust amp wonder itll march  preorder ,Not Depressed
5646, weneedfeminlsm import  ,Not Depressed
5647, yoifeellik cri potato,Not Depressed
5648, dramaticemili boy ever tell he big condom pleas send ,Not Depressed
5649, queenfeminist final word get devour shark ocean ok im mad ur home shouldnt ,Not Depressed
5650,hmm kind exhaust ignor whenev tri talk someth suppos forget repress instead,Not Depressed
5651,report arbi vegetarianhelp line absolut retard,Not Depressed
5652,arbi veg love anim would crave pig bacon plant base way go tast good lightlif lightlif,Not Depressed
5653,thetatatop got top  excit might underestim tata  littl small,Not Depressed
5654,gonna get jack im sad im strong enough lift  pound weight ,Not Depressed
5655,thank  new pump iron playlist spotifi ,Not Depressed
5656,attcar activ replac sim card onlin,Not Depressed
5657,att  activ new sim card onlin ,Not Depressed
5658, mercyforanim via mfa presid nathanrunkl huffingtonpost hey arbi vegetarian dont want meat  ,Not Depressed
5659,  hors collaps charleston yesterday reportedli spook rt want banhorsecarriag ,Not Depressed
5660,emonightbk time earli ,Not Depressed
5661,emonightbk request  someth call person nfg everyth  honorari titl lgfuad motion citi soundtrack ,Not Depressed
5662, trapgypsi feel calm end toxic friendship like woah much easier expect,Not Depressed
5663, emonightbk arifinlay savestheday said id walk home third roundddd,Not Depressed
5664, emonightbk oh well got spell,Not Depressed
5665, adriennerayfish emonightbk new taglin come nostalgia stay std ,Not Depressed
5666,emonightbk tri buy ticket kept get error buy door still sell,Not Depressed
5667,must see posit brainwash  via brainwaverc,Not Depressed
5668, chuckwendig amazon prime day lightn dealsbeestumshammerslincoln logssomebodi urinenew toeslampcordactu lightningsorri ,Not Depressed
5669,dbuerkert aw david ,Not Depressed
5670,holjenrevea dekashoko ixcuinan veganoso veganrevoiut anticarnist wish would stop use ill excus ,Not Depressed
5671,holjenrevea dekashoko ixcuinan veganoso veganrevoiut anticarnist useless tri show peopl truth sometim guess ,Not Depressed
5672,holjenrevea dekashoko ixcuinan veganoso veganrevoiut anticarnist said bc prefer tast price meat,Not Depressed
5673,dekashoko holjenrevea veganoso veganrevoiut anticarnist least consist pleas,Not Depressed
5674,dekashoko holjenrevea veganoso veganrevoiut anticarnist girl u admit person tast prefer health,Not Depressed
5675,veganrevoiut id say bulimia way wors kill anim tastebud barf anyway least anorex bare eat,Not Depressed
5676,goveggiefood would lot easier find product went vegan   lot store carri lactos free one ,Not Depressed
5677,arianna chao fieldroast,Not Depressed
5678, theveganqueen anim welfar fundrais braai like let rais money help anim kill amp eat oth,Not Depressed
5679,  team scientist predict ocean empti fish  mean natur predat die enj,Not Depressed
5680, amazonsmil rememb prime day shop  amazon donat favorit chariti hap,Not Depressed
5681,there moth room wont leav keep play dead scare tri sleep wake flap faceam crazi,Not Depressed
5682,imaplacebo chip tho anoth stori ,Not Depressed
5683,one oreo im set like month idk peopl bing sweet ,Not Depressed
5684, nightmareofy schedul first band rehears  year ,Not Depressed
5685, coffeecat queenfeminist autocorrect someth good ,Not Depressed
5686,ever,Not Depressed
5687,idk eat,Not Depressed
5688, rickygervai vote whether relax hunt ban drop face probabl defeat well done ,Not Depressed
5689,peopl say dont know eat vegan expens  realli eat normal find vegan substitut,Not Depressed
5690,drwaynewdy either way isnt sad gone feel like dont quit grasp differ,Not Depressed
5691,buterafirefli termitek takeyiaa harazustin rice bean lentil barley etc cheapest food theyr vegan fyi,Not Depressed
5692, vegangmo congrat newharvestorg real vegan egg clarafood project fund ,Not Depressed
5693, peta theyr everyon favorit vegan side happi frenchfri day ,Not Depressed
5694,junglecafenyc cant wait tri much eat buffet saturday vegan,Not Depressed
5695, junglecafenyc custodian planet respons deal speci kind richardger vegan ,Not Depressed
5696,want  friend anxieti understand  want someth feel liter unabl move ,Not Depressed
5697, scatsx made  follow rt follow chanc win choic space cat gear spacecatgiveaway  ,Not Depressed
5698, spitnotchew dont want nude leak dont take nudesmor weekto avoid rob noth allto avoid murd,Not Depressed
5699, shopivoryella rt win tiedy choic end sunday  est must follow win pick  winner ht,Not Depressed
5700, nytim whole life felt like peopl want girl littl quieter amyschum say  ,Not Depressed
5701, organiclivefood tuna highest contamin mercuryradi sinc travel entir pacif ocean  salmon ,Not Depressed
5702, thetatatop gender equal thetatatop censorshipsuck equal freethenipppl ,Not Depressed
5703,theskinnycow plz fuck cow want rape milk meant babi stolen away veal fed fat human,Not Depressed
5704,cant wait thetatatop freethenipppl ,Not Depressed
5705, nomyourself open letter arbi ,Not Depressed
5706, jackilippman becausebacon delici worth pain soul ,Not Depressed
5707, jackilippman becausebacon delici worth pain soul ,Not Depressed
5708, lotuspad dog cat tast like bacon would eat becausebacon ,Not Depressed
5709,thebuzztrend iambacon guilti pleasur kill babi pig smarter  year old children mmmmm yup noth wrong,Not Depressed
5710,veganbro love drink snap  feel like there enough vegan still drink alcohol reason,Not Depressed
5711, vegaproc grow sprout  sproutingse vegan veganfood whatveganseat sandwich ,Not Depressed
5712, arpost great start week iri john amp rachel complet challeng veganoutreach peta peta veganoutreach ,Not Depressed
5713, arpost anoth challeng complet great job get free poster sign  join us ,Not Depressed
5714, thedebrief think youv got weird nippl start love geegeeash dolphinesco freethenippl   ,Not Depressed
5715,  check interview dolphinesco x freethenippl campaign frankfemm    ,Not Depressed
5716,freethenippl dont give fuck,Not Depressed
5717,freethenippl freethenippl  mani feeliingss ,Not Depressed
5718,watch freethenippl ,Not Depressed
5719, drnealbarnard week blog prostat cancer nutrit prevent read  ,Not Depressed
5720, veganoutreach imaplacebo nice,Not Depressed
5721, pcrm imaplacebo drnealbarnard wonder plantbasedrx,Not Depressed
5722, veganrevoiut everdayactiv idea  ,Not Depressed
5723, earthjustic human respons kill  million shark per year sharkweek  ,Not Depressed
5724, anticarnist instead peopl ask vegan ask eat dead bodi,Not Depressed
5725,trillion dollar year fail drug trial let help peopl learn food clinici proven effect,Not Depressed
5726, jaredleto vegan doughnut airplan suitcas wheel gratitud,Not Depressed
5727, notofemin dont need fiemsm prolif femist love abort normal sunday brunch mimosa french toast spa hair,Not Depressed
5728,drnealbarnard thank pcrm  mani free resourc make believ doctor realli care ,Not Depressed
5729,rickygervai dude agre also agre tortur cow flavour action match belief youll see govegan,Not Depressed
5730,endalzheim endheartdiseas enddiabet endcanc govegan  thank pcrm,Not Depressed
5731, pcrm studi show plantbasedrx help manag amp revers type  diabet  easi step get start ,Not Depressed
5732, pcrm boost brain health amp help endalzheim w dietari guidelin alzheim prevent  ,Not Depressed
5733, pcrm rais awar cancer survivor day amp share resourc w famili amp friend   ,Not Depressed
5734, pcrm nba star stay game plantbas diet  ,Not Depressed
5735, pcrm justthefact new infograph drug test want bey vegan plantbasedrx amp  ,Not Depressed
5736, drnealbarnard struggl migrain answer might pantri  ,Not Depressed
5737,drnealbarnard pcrm go vegan stop  migrain,Not Depressed
5738, pcrm infograph show plantbas food help boost healthi bacteria digest system ,Not Depressed
5739, jmebbk  rt lilbthebasedgod chicken need respect love much dog cat love love none  lil b,Not Depressed
5740,rickygervai vegan vegan vegan way,Not Depressed
5741, rickygervai imagin offend swear word tweet peopl tortur fuck helpless anim death yeah that,Not Depressed
5742,crave vegan pizza soo bad ,Not Depressed
5743,rickygervai anyon tortur anim offens  dont forget dairi cow govegan ricki ,Not Depressed
5744, tumstweet comment sick ad dont eat chicken turkey govegan ,Not Depressed
5745, lilbthebasedgod america scare stand cow pig chicken like scare stand slaveri love pain,Not Depressed
5746,mail time   thank veganoutreach peta  vegan ,Not Depressed
5747,got men tell isnt true bc women soccer okay buddi,Not Depressed
5748,  im sick vegansvegetarian shove lifestyl choic throat time ,Not Depressed
5749, veganrevoiut may see error way give friend famili breast cancer that fella ,Not Depressed
5750, vegan meat involv kill innoc say higher welfar meat better factori farm delusion ,Not Depressed
5751, sorshamorava your vegetarian simpli dont eat meat your still contribut anim slaughter go vegan truli c,Not Depressed
5752,termitek jasminajafc  sorshamorava yeah vegetarian know  awar cant give chees,Not Depressed
5753,trisha payta fat ok  via youtub,Not Depressed
5754,vegnew  hey usa catch dont need tortur anim good show ringlingbro ,Not Depressed
5755, vegnew mexico say adio danc bear balanc eleph ban use wild anim circus ,Not Depressed
5756, notofemin dont need femimsm ye true femal athlet transform back wive womb immedi sport end htt,Not Depressed
5757, evarhussayni your feminist famili ,Not Depressed
5758,theveganqueen fuck trap get caught die slow pain death bc your scare teeni littl harmless mous,Not Depressed
5759, theveganqueen ppl uhm dont vegan know human ultim predat kill kill top food chain canin ,Not Depressed
5760,  much love  ,Not Depressed
5761,   anim,Not Depressed
5762,shrug,Not Depressed
5763,  seaworld could get even quarter whatev drug guy id love walk around life delusion black,Not Depressed
5764, genebaur im anim right activist much human suffer world ,Not Depressed
5765,mani sour straw last night  kombucha cure ,Not Depressed
5766,yeahdawgvegan sroak got em earli   ,Not Depressed
5767, dbuerkert world would better place without selfi,Not Depressed
5768,veganrevoiut pleas explain vegan,Not Depressed
5769,veganrevoiut vegan ugh wat ,Not Depressed
5770,veganrevoiut  shadowwww,Not Depressed
5771, veganrevoiut feed vegan cat like ,Not Depressed
5772,veganrevoiut might better caus store loss meat must thrown ,Not Depressed
5773,veganrevoiut oh hell yeah,Not Depressed
5774, veganrevoiut lock dog car hot daysom hero might drop leather satchel amp hamburg quickli break window,Not Depressed
5775,appleg id prefer dead anim plate lightlif tofurki dog best ,Not Depressed
5776, nickbaysid close feel everyon crazi right ,Not Depressed
5777,forgot bout dat full moon  ,Not Depressed
5778,help someon invent food pill feed intraven,Not Depressed
5779,without alcohol shrug,Not Depressed
5780,still wish better appetit though,Not Depressed
5781,alway thought need alcohol increas appetit see recommend ,Not Depressed
5782, estherthepig money cant buy happi buy cake that pretti much thing ,Not Depressed
5783, itcanwait youd surpris miss tweet drive panda hand pizza bummer itcanwait ,Not Depressed
5784,seamless seamlessbecaus portobello mushroom fell grill fire,Not Depressed
5785,anyon know mean trueli know know back  diagnos sever depress ,Not Depressed
5786,adam levin new girlfriend ,Not Depressed
5787,mom lisa carson ,Not Depressed
5788,talk dead point tonight thewalkingdead  twd  thetalkingdead,Not Depressed
5789,ohhh next episod thewalkingdead  edin jss sooooo excit,Not Depressed
5790,finish thewalkingdead love,Not Depressed
5791,made cri back februari best friend commit suicid someon hug like ,Not Depressed
5792,thank sooo much everyon wish happi birthday today turn good birthday got drunk ,Not Depressed
5793,im excit meet new niec probabl head hospit later also prayer mom paion ribcag,Not Depressed
5794,post new video facebook ,Not Depressed
5795,post new video facebook ,Not Depressed
5796,thiumb aje rdunjk,Not Depressed
5797,im still drunker alcohol friday haahahahahhahaahahahahahhahahahha,Not Depressed
5798,reason dont get facebook im buzz drunk e die lmao liter ,Not Depressed
5799,post new video facebook ,Not Depressed
5800,mia bake cake birthday three damn morn lol get drunk great start birthday,Not Depressed
5801,got unexpect call minut ago im happi hear well like thing ,Not Depressed
5802,illinoi could becom first state legal marijuana legislatur  ihl ,Not Depressed
5803,got nail done today ,Not Depressed
5804,libra right accur scari ,Not Depressed
5805,realest ahit ive heard year swear ,Not Depressed
5806,took  second stop start get  ,Not Depressed
5807,last night left place stay move im trash anyon say bad thing ive ,Not Depressed
5808,lil booboo work word ,Not Depressed
5809,cluck cluck dont give fuck excus languag insid joke lol,Not Depressed
5810,age b biggest fear feetc current time  pmd drink last baja blast easiest person ,Not Depressed
5811,mia bought hookah today fire badboy ,Not Depressed
5812,day becom frustrat swear,Not Depressed
5813,prayer need pleas think im get sick twin alreadi sick think caught,Not Depressed
5814,hellion lol,Not Depressed
5815,go ,Not Depressed
5816,laugh way hard lol ,Not Depressed
5817,ok everyon drama done stop name call stop accus sheesh,Not Depressed
5818,get turn away fuck famili dude shit realli hurt excus languag facebook ,Not Depressed
5819,want put twin bed sinc hadnt done sinc last time let say aunti ,Not Depressed
5820,im diagnos anxieti bpd depress struggl overcom singl mother person somebodi,Not Depressed
5821,im diagnos anxieti bpd depress struggl overcom singl mother person somebodi,Not Depressed
5822,adam thank relat diagnos feb  also struggl depress amp anxieti adolesc ,Not Depressed
5823,tealblu hair cant get teal photo ,Not Depressed
5824,today hard spent bed read day  lithium tomorrow call pdoc,Not Depressed
5825, catag oh god courtney tothegirl new york time ,Not Depressed
5826,start read good thu far  ,Not Depressed
5827,tothegirl deserv good life kick anyon make feel otherwis,Not Depressed
5828,courtney definit take part ,Not Depressed
5829,pbp go lithium  bipolardisord bipolar mentalil,Not Depressed
5830,larg photo post past month ,Not Depressed
5831,reblog book club tumblr chosen courtney book rage book next month excit book bookclub,Not Depressed
5832,avoid llmd like plagu suspect tick ill,Not Depressed
5833,spot care,Not Depressed
5834,offici tick season check pet go outsid like hide arm sock line amongst,Not Depressed
5835,mani great book come soon familiar mark z danielewski scarlet gospel clive barker million x import,Not Depressed
5836,fuck fact fact im unicorn horn shoot rainbow flame piss cake batter shit gumdrop,Not Depressed
5837,know cant scientif measur properli think depend invest ,Not Depressed
5838,im serious want tea effort,Not Depressed
5839,goodi taylor book  charleston wv book geek plushi ,Not Depressed
5840,mkatween im sorri noseble pain ass,Not Depressed
5841,im trudg book like mud day  lithium,Not Depressed
5842,figur ,Not Depressed
5843,day  without lithium compar mike tyson cat,Not Depressed
5844,final use midori cat paper clip page marker fauxdori ,Not Depressed
5845,world  ,Not Depressed
5846,addict bread kitten regret,Not Depressed
5847,worldbipolarday learn especi wrong right make activist peopl like,Not Depressed
5848,also write  world bipolar day ,Not Depressed
5849,wrote one fast apolog error,Not Depressed
5850,wrote thing eread print debat  let talk dirti  ,Not Depressed
5851,pack trip unfortun work lt ,Not Depressed
5852,new kindl case happen dixieswindow etsi ,Not Depressed
5853,time nap supernatur im pretti much done today,Not Depressed
5854,spencersac thank add im writer bipolar disord amp big fan william burrough,Not Depressed
5855,polaroid progress ,Not Depressed
5856,move bag ,Not Depressed
5857,,Not Depressed
5858,murder wrote tvmah stori,Not Depressed
5859,bought cloth today feel accomplish im sleepi though,Not Depressed
5860,written exorcist vacat well indefinit im person issu need tend,Not Depressed
5861,final take vacat,Not Depressed
5862,tomorrow day diagnos depress  year ago day still find realli tough deal speak,Not Depressed
5863,orphan black good tv show highli recommend,Not Depressed
5864,start  day vegan challeng tomorrowim gonna die,Not Depressed
5865,one talk problem suck lot,Not Depressed
5866,want date fuck arianagrand,Not Depressed
5867,dont care age tonight watch incred fuck given,Not Depressed
5868,instagram  iamjohnbrown check follow back,Not Depressed
5869,spoon street yesterday ,Not Depressed
5870,rejoin gym tomorrow,Not Depressed
5871,spoon street ,Not Depressed
